team,date,opponent,time,channel
jax,DATE,Indianapolis Colts,invalid time,['TBD']
jax,"Sun, Sep 17",Kansas City Chiefs,invalid time,['TBD']
jax,"Sun, Sep 10",Indianapolis Colts,invalid time,['TBD']
jax,"Sun, Oct 1",Atlanta Falcons,invalid time,['TBD']
jax,"Sun, Sep 24",Houston Texans,invalid time,['TBD']
jax,"Sun, Oct 15",Indianapolis Colts,invalid time,['TBD']
jax,"Sun, Oct 8",Buffalo Bills,invalid time,['TBD']
jax,BYE WEEK,San Francisco 49Ers,BYE WEEK,['BYE WEEK']
jax,DATE,Pittsburgh Steelers,invalid time,['TBD']
jax,"Sun, Nov 19",Tennessee Titans,2023-11-19 18:00:00,['CBS']
jax,"Sun, Oct 29",Pittsburgh Steelers,2023-10-29 17:00:00,['CBS']
jax,"Mon, Dec 4",Cincinnati Bengals,2023-12-05 01:15:00,"['ABC', 'ESPN']"
jax,"Sun, Nov 12",San Francisco 49Ers,2023-11-12 18:00:00,['FOX']
jax,"Sun, Dec 17",Baltimore Ravens,2023-12-18 01:20:00,['NBC']
jax,"Sun, Nov 26",Houston Texans,2023-11-26 18:00:00,['CBS']
jax,"Sun, Dec 31",Carolina Panthers,2023-12-31 18:00:00,['CBS']
jax,"Sun, Dec 10",Cleveland Browns,2023-12-10 18:00:00,['CBS']
jax,"Sat, Aug 19",Detroit Lions,invalid time,['TBD']
jax,"Sun, Dec 31",Carolina Panthers,2023-12-31 18:00:00,['CBS']
jax,"Sun, Jan 7",Tennessee Titans,TBD,['TBD']
